,Customer ID,Purchase Date,Drone Model,Price,Payment Method,Warranty,Usage Frequency,Purpose of Use,Customer Satisfaction,Customer Feedback,Age,Obstacle Avoidance,cluster_no
0,CUST001,2023-03-08,Skydio 2,2158.16,Debit Card,1,2,Professional Use,5,The Skydio 2 is excellent and exceeded my expectations. It's fantastic for Professional Use.,339,1,2
1,CUST002,2023-08-06,Parrot Anafi USA,1213.72,Credit Card,2,0,Professional Use,4,"For the price of 1213.72, the Parrot Anafi USA offers impressive performance. It's fantastic for Professional Use.",188,1,3
2,CUST003,2023-02-19,DJI Mini 2,1175.52,Cash,2,0,Aerial Photography,2,I'm truly impressed with the DJI Mini 2. It's reliable and amazing for Aerial Photography.,356,1,3
3,CUST004,2023-05-11,Parrot Anafi USA,1772.46,PayPal,0,1,Aerial Photography,3,I couldn't be happier with the Parrot Anafi USA. It's satisfying and amazing for Aerial Photography.,275,1,1
4,CUST005,2023-05-23,DJI Air 2S,1276.78,Credit Card,1,2,Aerial Photography,4,The DJI Air 2S is impressive and exceeded my expectations. It's terrific for Aerial Photography.,263,0,2
5,CUST006,2022-11-16,Autel EVO Lite+,1962.4,Credit Card,0,1,Recreation,5,The Autel EVO Lite+ is impressive and exceeded my expectations. It's amazing for Recreation.,451,0,1
6,CUST007,2023-05-06,Skydio X2,1063.88,PayPal,2,0,Professional Use,4,The Skydio X2 is reliable and exceeded my expectations. It's perfect for Professional Use.,280,0,3
7,CUST008,2022-12-31,Autel EVO Nano+,1796.46,Credit Card,0,1,Aerial Photography,5,The Autel EVO Nano+ is satisfying and exceeded my expectations. It's fantastic for Aerial Photography.,406,0,1
8,CUST009,2023-01-16,Skydio X2,1137.24,Credit Card,1,0,Recreation,4,The Skydio X2 is excellent and exceeded my expectations. It's amazing for Recreation.,390,0,3
9,CUST010,2022-10-06,Skydio 2,1212.18,Cash,0,1,Recreation,1,I couldn't be happier with the Skydio 2. It's reliable and amazing for Recreation.,492,1,1
10,CUST011,2023-03-04,DJI Mavic Air 2,2216.58,Cash,2,1,Professional Use,5,"For the price of 2216.58, the DJI Mavic Air 2 offers outstanding performance. It's fantastic for Professional Use.",343,0,5
11,CUST012,2023-05-17,Autel EVO Nano+,2424.7,Credit Card,2,0,Recreation,1,The Autel EVO Nano+ is reliable and exceeded my expectations. It's amazing for Recreation.,269,0,3
12,CUST013,2023-01-25,Yuneec Typhoon H,1045.02,Credit Card,2,0,Aerial Photography,3,I'm truly impressed with the Yuneec Typhoon H. It's satisfying and terrific for Aerial Photography.,381,0,3
13,CUST014,2022-11-17,Yuneec Typhoon H,2265.36,Cash,1,0,Aerial Photography,4,I'm truly impressed with the Yuneec Typhoon H. It's impressive and fantastic for Aerial Photography.,450,0,3
14,CUST015,2023-07-18,DJI Mini 2,1751.89,PayPal,0,0,Recreation, ,"For the price of 1751.89, the DJI Mini 2 offers reliable performance. It's terrific for Recreation.",207,1,1
15,CUST016,2023-07-21,Yuneec Typhoon H,546.17,Credit Card,2,1,Professional Use,4,The Yuneec Typhoon H is excellent and exceeded my expectations. It's terrific for Professional Use.,204,0,5
16,CUST017,2023-04-20,Parrot Anafi USA,1946.07,Cash,0,2,Aerial Photography,4,The Parrot Anafi USA is excellent and exceeded my expectations. It's terrific for Aerial Photography.,296,1,2
17,CUST018,2023-08-12,Autel EVO 2 Pro,1890.48,Cash,1,1,Professional Use,5,I purchased the Autel EVO 2 Pro and it has been an reliable experience. It's perfect for Professional Use.,182,0,4
18,CUST019,2023-07-06,Skydio 2,2031.0,Debit Card,0,1,Professional Use,4,I couldn't be happier with the Skydio 2. It's reliable and fantastic for Professional Use.,219,1,1
19,CUST020,2023-04-12,DJI Mavic Air 2,1358.72,Debit Card,0,0,Professional Use,4,I couldn't be happier with the DJI Mavic Air 2. It's excellent and perfect for Professional Use.,304,0,1
20,CUST021,2023-03-15,Skydio 2,2343.89,Credit Card,0,2,Professional Use,5,I'm truly impressed with the Skydio 2. It's excellent and perfect for Professional Use.,332,1,2
21,CUST022,2023-05-13,Autel EVO Lite+,2128.22,Credit Card,2,1,Professional Use,4,The Autel EVO Lite+ is reliable and exceeded my expectations. It's fantastic for Professional Use.,273,0,5
22,CUST023,2023-04-24,DJI Mavic Air 2,2020.74,Cash,0,1,Professional Use,5,"For the price of 2020.74, the DJI Mavic Air 2 offers reliable performance. It's perfect for Professional Use.",292,0,1
23,CUST024,2023-07-21,Autel EVO Lite+,2382.37,Debit Card,2,0,Aerial Photography,4,I purchased the Autel EVO Lite+ and it has been an reliable experience. It's perfect for Aerial Photography.,204,0,3
24,CUST025,2023-07-05,Skydio 2,1703.51,Cash,0,2,Professional Use,4,I'm truly impressed with the Skydio 2. It's impressive and exceptional for Professional Use.,220,1,2
25,CUST026,2023-02-03,Parrot Anafi USA,907.24,Credit Card,1,1,Recreation,4,I purchased the Parrot Anafi USA and it has been an excellent experience. It's perfect for Recreation.,372,1,4
26,CUST027,2023-01-16,DJI Mini 2,2048.91,Cash,1,0,Recreation,4,I'm truly impressed with the DJI Mini 2. It's reliable and exceptional for Recreation.,390,1,3
27,CUST028,2023-06-09,Autel EVO Nano+,1125.23,Credit Card,2,1,Aerial Photography,5,I couldn't be happier with the Autel EVO Nano+. It's excellent and perfect for Aerial Photography.,246,0,5
28,CUST029,2023-04-15,Autel EVO 2 Pro,1007.6,Credit Card,1,0,Professional Use,4,I couldn't be happier with the Autel EVO 2 Pro. It's excellent and amazing for Professional Use.,301,0,3
29,CUST030,2023-08-31,DJI Air 2S,1559.14,Credit Card,1,1,Aerial Photography,5,"For the price of 1559.14, the DJI Air 2S offers outstanding performance. It's amazing for Aerial Photography.",163,0,4
30,CUST031,2022-11-07,Skydio 2,2019.17,PayPal,1,1,Aerial Photography,4,"For the price of 2019.17, the Skydio 2 offers satisfying performance. It's exceptional for Aerial Photography.",460,1,4
31,CUST032,2023-04-09,Autel EVO Lite+,2094.87,Cash,2,1,Professional Use,5,I purchased the Autel EVO Lite+ and it has been an excellent experience. It's perfect for Professional Use.,307,0,5
32,CUST033,2023-05-29,DJI Mini 2,1346.83,Cash,1,0,Recreation,3,I'm truly impressed with the DJI Mini 2. It's satisfying and exceptional for Recreation.,257,1,3
33,CUST034,2023-07-22,Skydio X2,1943.62,Credit Card,2,1,Aerial Photography,4,"For the price of 1943.62, the Skydio X2 offers excellent performance. It's terrific for Aerial Photography.",203,0,5
34,CUST035,2023-06-23,DJI Mini 2,1930.09,PayPal,1,1,Professional Use,5,The DJI Mini 2 is satisfying and exceeded my expectations. It's perfect for Professional Use.,232,1,4
35,CUST036,2022-10-07,Parrot Anafi USA,2476.05,PayPal,1,2,Professional Use,4,I purchased the Parrot Anafi USA and it has been an impressive experience. It's perfect for Professional Use.,491,1,2
36,CUST037,2023-08-24,Autel EVO Nano+,342.68,Credit Card,2,2,Recreation,5,"For the price of 342.68, the Autel EVO Nano+ offers outstanding performance. It's perfect for Recreation.",170,0,5
37,CUST038,2022-11-05,Yuneec Typhoon H,896.64,Credit Card,2,1,Professional Use,5,"For the price of 896.64, the Yuneec Typhoon H offers satisfying performance. It's perfect for Professional Use.",462,0,5
38,CUST039,2022-11-07,Autel EVO Nano+,1844.24,Debit Card,1,2,Aerial Photography,4,The Autel EVO Nano+ is impressive and exceeded my expectations. It's exceptional for Aerial Photography.,460,0,2
39,CUST040,2023-01-17,DJI Mavic Air 2,2157.05,Cash,2,1,Aerial Photography,4,I'm truly impressed with the DJI Mavic Air 2. It's outstanding and fantastic for Aerial Photography.,389,0,5
40,CUST041,2023-09-01,Skydio X2,1542.6,Cash,1,2,Recreation,4,I'm truly impressed with the Skydio X2. It's satisfying and fantastic for Recreation.,162,0,2
41,CUST042,2023-06-30,Autel EVO Lite+,738.74,PayPal,1,1,Recreation,5,I'm truly impressed with the Autel EVO Lite+. It's outstanding and exceptional for Recreation.,225,0,4
42,CUST043,2022-11-13,Yuneec Typhoon H,1488.93,PayPal,0,1,Aerial Photography,4,I purchased the Yuneec Typhoon H and it has been an excellent experience. It's perfect for Aerial Photography.,454,0,1
43,CUST044,2023-06-03,Yuneec Typhoon H,1501.0,Cash,2,0,Recreation,5,I purchased the Yuneec Typhoon H and it has been an excellent experience. It's perfect for Recreation.,252,0,3
44,CUST045,2023-02-17,DJI Air 2S,2061.38,PayPal,1,0,Professional Use,4,The DJI Air 2S is outstanding and exceeded my expectations. It's amazing for Professional Use.,358,0,3
45,CUST046,2023-08-29,Autel EVO Lite+,1848.07,Credit Card,2,2,Recreation,4,I purchased the Autel EVO Lite+ and it has been an excellent experience. It's perfect for Recreation.,165,0,5
46,CUST047,2022-11-11,Yuneec Typhoon H,2255.44,Cash,2,2,Recreation,5,I purchased the Yuneec Typhoon H and it has been an reliable experience. It's perfect for Recreation.,456,0,5
